MutationType,ID9_GRCh37
1:Del:C:0,0.334939881
1:Del:C:1,0.099994226
1:Del:C:2,0.002690655
1:Del:C:3,0.010625416
1:Del:C:4,0.012496902
1:Del:C:5,4.48e-05
1:Del:T:0,0.105105373
1:Del:T:1,0.044293641
1:Del:T:2,0.085861956
1:Del:T:3,0.113250663
1:Del:T:4,0.094412737
1:Del:T:5,0.000929835
1:Ins:C:0,5.41e-18
1:Ins:C:1,1.93e-06
1:Ins:C:2,0.000352623
1:Ins:C:3,5.41e-18
1:Ins:C:4,2.16e-06
1:Ins:C:5,7.37e-05
1:Ins:T:0,0.012614484
1:Ins:T:1,0.010385274
1:Ins:T:2,0.002314663
1:Ins:T:3,0.001600885
1:Ins:T:4,0.001585355
1:Ins:T:5,0.00577248
2:Del:R:0,0.013174747
2:Del:R:1,0.003198541
2:Del:R:2,0.001189697
2:Del:R:3,9.59e-05
2:Del:R:4,5.41e-18
2:Del:R:5,5.41e-18
3:Del:R:0,0.002858095
3:Del:R:1,0.00430191
3:Del:R:2,0.001275717
3:Del:R:3,0.00030211
3:Del:R:4,5.41e-18
3:Del:R:5,5.41e-18
4:Del:R:0,0.001432774
4:Del:R:1,0.004594217
4:Del:R:2,0.000896024
4:Del:R:3,2.38e-05
4:Del:R:4,5.41e-18
4:Del:R:5,1.37e-05
5:Del:R:0,0.000772052
5:Del:R:1,0.000479551
5:Del:R:2,0.000264969
5:Del:R:3,6.12e-06
5:Del:R:4,7.25e-06
5:Del:R:5,2.99e-05
2:Ins:R:0,0.001162339
2:Ins:R:1,0.002100192
2:Ins:R:2,0.000760941
2:Ins:R:3,0.000351635
2:Ins:R:4,3.07e-05
2:Ins:R:5,5.41e-18
3:Ins:R:0,0.000254573
3:Ins:R:1,0.000823355
3:Ins:R:2,0.000118261
3:Ins:R:3,5.18e-06
3:Ins:R:4,1.61e-05
3:Ins:R:5,5.41e-18
4:Ins:R:0,0.000164387
4:Ins:R:1,0.000715565
4:Ins:R:2,4.24e-05
4:Ins:R:3,2.15e-05
4:Ins:R:4,5.41e-18
4:Ins:R:5,2.18e-06
5:Ins:R:0,0.000165846
5:Ins:R:1,0.001253996
5:Ins:R:2,0.000102849
5:Ins:R:3,8.02e-05
5:Ins:R:4,5.05e-05
5:Ins:R:5,9.89e-06
2:Del:M:1,0.003900972
3:Del:M:1,0.003011328
3:Del:M:2,0.001543302
4:Del:M:1,0.001927721
4:Del:M:2,0.003297448
4:Del:M:3,0.002544079
5:Del:M:1,3.54e-05
5:Del:M:2,0.000221236
5:Del:M:3,0.000570907
5:Del:M:4,0.000448308
5:Del:M:5,5.41e-18
2:Ins:M:1,0
3:Ins:M:1,0
3:Ins:M:2,0
4:Ins:M:1,0
4:Ins:M:2,0
4:Ins:M:3,0
5:Ins:M:1,0
5:Ins:M:2,0
5:Ins:M:3,0
5:Ins:M:4,0
5:Ins:M:5,0
complex,0
non_matching,0
