gene	chromosome	strand	start	end	geneSegmentType
IGLV4-69	22	+	22385332	22385870	V
IGLV10-67	22	+	22398016	22398340	V
IGLV1-62	22	+	22440972	22441521	V
IGLV8-61	22	+	22453110	22453622	V
IGLV4-60	22	+	22516592	22517074	V
IGLV6-57	22	+	22550113	22550860	V
IGLV11-55	22	+	22556057	22556600	V
IGLV10-54	22	+	22569184	22569660	V
IGLV5-52	22	+	22673082	22673581	V
IGLV1-51	22	+	22676828	22677336	V
IGLV1-50	22	+	22681658	22682172	V
IGLV9-49	22	+	22697539	22698084	V
IGLV5-48	22	+	22707289	22707781	V
IGLV1-47	22	+	22712087	22712608	V
IGLV7-46	22	+	22723982	22724454	V
IGLV5-45	22	+	22730355	22730874	V
IGLV1-44	22	+	22735135	22735715	V
IGLV7-43	22	+	22749356	22749827	V
IGLV1-41	22	+	22758539	22759053	V
IGLV1-40	22	+	22764098	22764614	V
IGLV5-37	22	+	22781876	22782371	V
IGLV1-36	22	+	22786296	22786802	V
IGLV7-35	22	+	22804540	22804990	V
IGLV2-34	22	+	22922478	22922760	V
IGLV2-33	22	+	22930626	22931145	V
IGLV3-32	22	+	22936998	22937501	V
IGLV3-31	22	+	22946915	22947635	V
IGLV3-30	22	+	22961042	22961633	V
IGLV3-29	22	+	23003769	23004012	V
IGLV2-28	22	+	23006943	23007377	V
IGLV3-27	22	+	23010758	23011276	V
IGLV3-26	22	+	23015622	23016072	V
IGLV3-25	22	+	23029190	23029735	V
IGLV3-24	22	+	23036924	23037437	V
IGLV2-23	22	+	23040274	23040892	V
IGLV3-22	22	+	23046750	23047307	V
IGLV3-21	22	+	23054174	23055688	V
IGLV3-19	22	+	23063108	23063630	V
IGLV2-18	22	+	23077095	23077584	V
IGLV3-17	22	+	23081432	23081675	V
IGLV3-16	22	+	23089870	23090398	V
IGLV3-15	22	+	23098043	23098286	V
IGLV2-14	22	+	23101189	23101707	V
IGLV3-13	22	+	23104787	23105009	V
IGLV3-12	22	+	23114317	23115079	V
IGLV2-11	22	+	23134980	23135496	V
IGLV3-10	22	+	23154244	23154782	V
IGLV3-9	22	+	23161507	23162253	V
IGLV2-8	22	+	23165153	23165787	V
IGLV3-7	22	+	23180779	23181049	V
IGLV3-6	22	+	23192550	23192799	V
IGLV2-5	22	+	23198937	23199213	V
IGLV3-4	22	+	23200200	23200443	V
IGLV4-3	22	+	23213686	23214214	V
IGLV3-2	22	+	23215391	23215619	V
IGLV3-1	22	+	23222886	23223576	V
IGLJ1	22	+	23235872	23235998	J
IGLC1	22	+	23237555	23238014	C
IGLJ2	22	+	23241661	23241835	J
IGLC2	22	+	23243156	23243617	C
IGLJ3	22	+	23247030	23247205	J
IGLC3	22	+	23248512	23248973	C
IGLJ4	22	+	23252744	23252776	J
IGLC4	22	+	23252998	23253245	C
IGLJ5	22	+	23256408	23256479	J
IGLC5	22	+	23257805	23258097	C
IGLJ6	22	+	23260304	23260373	J
IGLC6	22	+	23261707	23262023	C
IGLJ7	22	+	23263562	23263607	J
IGLC7	22	+	23264766	23265203	C
TRAV1-1	14	+	22089991	22090720	V
TRAV1-2	14	+	22111109	22111798	V
TRAV2	14	+	22180544	22181066	V
TRAV3	14	+	22191960	22192568	V
TRAV4	14	+	22204434	22205264	V
TRAV5	14	+	22217462	22217989	V
TRAV6	14	+	22236729	22237320	V
TRAV7	14	+	22251210	22251720	V
TRAV8-1	14	+	22265459	22266058	V
TRAV9-1	14	+	22279674	22280149	V
TRAV10	14	+	22293636	22294239	V
TRAV11	14	+	22297692	22298223	V
TRAV12-1	14	+	22309422	22309956	V
TRAV8-2	14	+	22314719	22315403	V
TRAV8-3	14	+	22320735	22321183	V
TRAV13-1	14	+	22337020	22337546	V
TRAV12-2	14	+	22356037	22356682	V
TRAV8-4	14	+	22362613	22363210	V
TRAV8-5	14	+	22371257	22371778	V
TRAV13-2	14	+	22386363	22386931	V
TRAV14DV4	14	+	22392239	22392827	V
TRAV9-2	14	+	22409313	22409848	V
TRAV15	14	+	22418629	22418877	V
TRAV12-3	14	+	22433680	22434290	V
TRAV8-6	14	+	22446699	22447360	V
TRAV16	14	+	22458735	22459177	V
TRAV17	14	+	22465778	22466407	V
TRAV18	14	+	22471345	22471912	V
TRAV19	14	+	22475751	22476420	V
TRAV20	14	+	22508840	22509399	V
TRAV21	14	+	22520773	22521315	V
TRAV22	14	+	22538820	22539471	V
TRAV23DV6	14	+	22554684	22555238	V
TRDV1	14	+	22564309	22564896	V
TRAV24	14	+	22573620	22574123	V
TRAV25	14	+	22580300	22580984	V
TRAV26-1	14	+	22591276	22592243	V
TRAV8-7	14	+	22600515	22600996	V
TRAV27	14	+	22615949	22616587	V
TRAV28	14	+	22623012	22623571	V
TRAV29DV5	14	+	22631134	22631766	V
TRAV30	14	+	22636325	22636884	V
TRAV31	14	+	22645170	22645761	V
TRAV32	14	+	22653458	22653953	V
TRAV33	14	+	22658052	22658607	V
TRAV26-2	14	+	22670477	22671262	V
TRAV34	14	+	22675418	22676025	V
TRAV35	14	+	22689792	22690371	V
TRAV36DV7	14	+	22694641	22695149	V
TRAV37	14	+	22733632	22734147	V
TRAV38-1	14	+	22739851	22740446	V
TRAV38-2DV8	14	+	22748988	22749631	V
TRAV39	14	+	22771939	22772438	V
TRAV40	14	+	22782922	22783351	V
TRAV41	14	+	22788620	22789123	V
TRDV2	14	+	22891362	22892033	V
TRDJ1	14	+	22919081	22919131	J
TRDJ4	14	+	22924241	22924288	J
TRDJ2	14	+	22925681	22925734	J
TRDJ3	14	+	22928090	22928148	J
TRDC	14	+	22931924	22934779	C
TRDV3	14	-	22938033	22938690	V
TRAJ61	14	+	22944306	22944365	J
TRAJ60	14	+	22945296	22945352	J
TRAJ59	14	+	22945543	22945596	J
TRAJ58	14	+	22946696	22946758	J
TRAJ57	14	+	22947861	22947923	J
TRAJ56	14	+	22948510	22948571	J
TRAJ55	14	+	22950686	22950742	J
TRAJ54	14	+	22951276	22951335	J
TRAJ53	14	+	22951993	22952058	J
TRAJ52	14	+	22955216	22955284	J
TRAJ51	14	+	22956171	22956233	J
TRAJ50	14	+	22957581	22957640	J
TRAJ49	14	+	22958476	22958531	J
TRAJ48	14	+	22959479	22959541	J
TRAJ47	14	+	22961838	22961894	J
TRAJ46	14	+	22962389	22962451	J
TRAJ45	14	+	22962911	22962976	J
TRAJ44	14	+	22963806	22963868	J
TRAJ43	14	+	22964896	22964949	J
TRAJ42	14	+	22965872	22965937	J
TRAJ41	14	+	22966642	22966703	J
TRAJ40	14	+	22968672	22968732	J
TRAJ39	14	+	22970585	22970647	J
TRAJ38	14	+	22971215	22971276	J
TRAJ37	14	+	22972735	22972797	J
TRAJ36	14	+	22974096	22974155	J
TRAJ35	14	+	22975629	22975687	J
TRAJ34	14	+	22976651	22976708	J
TRAJ33	14	+	22977587	22977643	J
TRAJ32	14	+	22978325	22978390	J
TRAJ31	14	+	22979951	22980007	J
TRAJ30	14	+	22981834	22981890	J
TRAJ29	14	+	22982921	22982980	J
TRAJ28	14	+	22984601	22984666	J
TRAJ27	14	+	22985251	22985309	J
TRAJ26	14	+	22987424	22987483	J
TRAJ25	14	+	22987790	22987849	J
TRAJ24	14	+	22988947	22989009	J
