sample_id	Gynecologic: Ovary/Fallopian tube	Myeloid: Acute myeloid leukemia	Prostate	Skin: Other
Pro_1	0.0858558351401933	0.022160461172030733	0.8462560700851358	0.045727633602640205
Pro_2	0.2775176193537783	0.02555222399240991	0.6185655185452809	0.07836463810853095
Pro_3	0.06060921803687557	0.03643114400831246	0.8715158230706503	0.031443814884161536
Pro_4	0.3639760920225322	0.0147467713283734	0.5108747236288703	0.11040241302022408
Pro_5	0.3691120983745475	0.007416794504835457	0.5467065338187317	0.07676457330188527
Pro_6	0.23295273319846385	0.011425635485570558	0.6747166322363892	0.08090499907957631
Pro_7	0.10837126849211821	0.08574318156667354	0.7171729703253398	0.08871257961586847
Pro_8	0.16234625477023917	0.02679757818819913	0.7340899985582326	0.07676616848332908
Pro_9	0.09377233050298764	0.02157803104478182	0.8180337583865969	0.0666158800656337
Pro_10	0.287028068601947	0.041421705096017655	0.5446522476170615	0.1268979786849737
Ski_1	0.11978452976029161	0.26242582109887974	0.18966440274888763	0.42812524639194105
Ski_2	0.055395396281239205	0.0014537281562403608	0.1256196647789479	0.8175312107835725
Ski_3	0.14619083110519174	0.3302704893068048	0.15085269321908867	0.3726859863689147
Ski_4	0.001581560981630174	0.00013371782316270612	0.00012116609864317306	0.998163555096564
Ski_5	0.019108110322046786	0.0017873775972665554	0.003074402249796343	0.9760301098308902
Ski_6	0.006583334448106204	6.362066788208201e-05	0.0005322430232040796	0.9928208018608076
Ski_7	0.3242001342883604	0.004867110103571984	0.21264186382329353	0.4582908917847741
Ski_8	0.00645121078607741	0.000639208312901405	0.0010532029887446782	0.9918563779122767
Mye_1	0.08763280265777684	0.7808354812919032	0.06686587679468775	0.06466583925563217
Mye_2	0.056801740210326024	0.7882711679816015	0.08392041459938095	0.0710066772086917
Mye_3	0.21213218160152325	0.728089156507847	0.008175744737828568	0.051602917152801284
Mye_4	0.043550930048270084	0.8306838691011387	0.05243149782030506	0.07333370303028616
Mye_5	0.10527421662725112	0.6667904166221893	0.11606122631887973	0.1118741404316797
Mye_6	0.07793143243906864	0.7812436705327825	0.06149076558139689	0.07933413144675201
Mye_7	0.0698091884867752	0.815895852657491	0.03686162740585479	0.07743333144987902
Mye_8	0.036617059972250524	0.8368254517613714	0.06864138807411602	0.057916100192262274
Mye_9	0.07349075112353938	0.7553703531195607	0.08593952215332142	0.08519937360357846
Mye_10	0.06261542838738406	0.8386272603388039	0.04523277430347657	0.05352453697033555
Gyn_1	0.4710282687604804	0.22415764454481146	0.19206725929954258	0.1127468273951655
Gyn_2	0.40348482487076626	0.01063506340610338	0.2928565024831758	0.29302360923995446
Gyn_3	0.4354676702053657	0.2279403140366134	0.20920103341920984	0.12739098233881102
Gyn_4	0.5821337189222869	0.15648359298881787	0.15165840208709813	0.10972428600179714
Gyn_5	0.7295264550172472	0.0020460097251357038	0.22138720429474062	0.04704033096287644
Gyn_6	0.8483162239968247	0.0004746629860423824	0.10844047393995418	0.04276863907717891
Gyn_7	0.8013846308430693	0.0017651071758388588	0.1354730738525286	0.06137718812856324
Gyn_8	0.8448089347795243	0.009698727698105168	0.08793495366652952	0.05755738385584094
Gyn_9	0.5076468693084497	0.07846952679701016	0.24859057693902936	0.16529302695551074
Gyn_10	0.6448583226245875	0.018012104106247127	0.25572236050546754	0.08140721276369789
Gyn_11	0.8457957647274268	0.012002442295380196	0.07922050913160862	0.06298128384558442
Gyn_12	0.7286502274575457	0.011329862614660373	0.2142489304094346	0.04577097951835942
