sample_id	Gynecologic: Ovary/Fallopian tube	Myeloid: Acute myeloid leukemia	Prostate	Skin: Other
Pro_1	0.8065688987398084		0.0680844365209802	0.12534666473921152
Pro_2	0.8065688987398084		0.0680844365209802	0.12534666473921152
Pro_3				
Pro_4				
Pro_5	0.8065688987398084		0.0680844365209802	0.12534666473921152
Pro_6				
Pro_7				
Pro_8	0.8065688987398084		0.0680844365209802	0.12534666473921152
Pro_9	0.8065688987398084		0.0680844365209802	0.12534666473921152
Pro_10	0.8065688987398084		0.0680844365209802	0.12534666473921152
Ski_1				
Ski_2	0.8065688987398084		0.0680844365209802	0.12534666473921152
Ski_3	0.8065688987398084		0.0680844365209802	0.12534666473921152
Ski_4	0.8065688987398084		0.0680844365209802	0.12534666473921152
Ski_5				
Ski_6				
Ski_7	0.8065688987398084		0.0680844365209802	0.12534666473921152
Ski_8	0.8065688987398084		0.0680844365209802	0.12534666473921152
Mye_1				
Mye_2				
Mye_3				
Mye_4				
Mye_5				
Mye_6				
Mye_7				
Mye_8				
Mye_9				
Mye_10				
Gyn_1	0.8065688987398084		0.0680844365209802	0.12534666473921152
Gyn_2	0.8065688987398084		0.0680844365209802	0.12534666473921152
Gyn_3	0.8065688987398084		0.0680844365209802	0.12534666473921152
Gyn_4	0.8065688987398084		0.0680844365209802	0.12534666473921152
Gyn_5				
Gyn_6				
Gyn_7	0.8065688987398084		0.0680844365209802	0.12534666473921152
Gyn_8	0.8065688987398084		0.0680844365209802	0.12534666473921152
Gyn_9	0.8065688987398084		0.0680844365209802	0.12534666473921152
Gyn_10	0.8065688987398084		0.0680844365209802	0.12534666473921152
Gyn_11	0.8065688987398084		0.0680844365209802	0.12534666473921152
Gyn_12	0.8065688987398084		0.0680844365209802	0.12534666473921152
