hs1	125184587	143184587
hs9	45518558	60518558
hsY	26673214	56673214
hs13	10000	16000000
hs14	10000	16000000
hs15	10000	17000000
hs16	38280682	46280682
hs21	10000	5010000
hs22	10000	10510000
hs2 93039351    93239351
hs3 92114016    92314016
hs1	123505523	123705523
hs2	93039351	93239351
hs3	92114016	92314016
hs4	50626026	50826026
hs5	48172854	48372854
hs6	59091911	59291911
hs7	59398944	59598944
hs8	44855505	45055505
hs9	44277363	44477363
hs10	40540102	40740102
hs11	52651711	52851711
hs12	35877330	36077330
hs13	16925624	17125624
hs14	16986762	17186762
hs15	18262627	18462627
hs16	37195920	37395920
hs17	24749830	24949830
hs18	18061053	18261053
hs19	25744927	25944927
hs20	28137290	28337290
hs21	11790184	11990184
hs22	13904553	14104553
hsX	60409061	60609061
hsY	10330492	10530492
