hs1	121535434	142535434
hs2	92326171	95326171
hs3	90504854	93504854
hs4	49660117	52660117
hs5	46405641	49405641
hs6	58830166	61830166
hs7	58054331	61054331
hs8	43838887	46838887
hs9	47367679	65367679
hs10	39254935	42254935
hs11	51644205	54644205
hs12	34856694	37856694
hs13	10000	19000000
hs14	10000	19000000
hs15	10000	20000000
hs16	35285801	46385801
hs17	22263006	25263006
hs18	15460898	18460898
hs19	24681782	27681782
hs20	26369569	29369569
hs21	0	9411193
hs21	9595548	9645548
hs21	9775437	9825437
hs21	10034920	10084920
hs21	10215976	10365976
hs21	10647896	10697896
hs21	11188129	14338129
hs22	10000	16000000
hsX	58632012	61632012
hsY	10104553	13104553
hsY	28819361	58819361
