sample_id	Gynecologic: Ovary/Fallopian tube	Myeloid: Acute myeloid leukemia	Prostate	Skin: Other
Pro_1	0.07243660190374548	0.13535497145919448	0.7170253758652722	0.07518305077178782
Pro_2	0.05972042421549149	0.11784318879551012	0.7578471080974638	0.06458927889153473
Pro_3	0.09391552729509828	0.15268729886661048	0.6422931094871652	0.11110406435112605
Pro_4	0.0886542554481707	0.12778344825484084	0.6696649061665281	0.11389739013046045
Pro_5	0.08976978689166455	0.10915585162949543	0.7208055748234394	0.08026878665540059
Pro_6	0.0770134674973299	0.11360420656743977	0.6993602957631526	0.11002203017207782
Pro_7	0.10927552602749509	0.17320991871770997	0.5832814384625915	0.13423311679220354
Pro_8	0.08999112120023652	0.10513011172354629	0.7101806994162656	0.09469806765995167
Pro_9	0.09042328944891663	0.12388200753363268	0.6632444401149011	0.12245026290254944
Pro_10	0.11306881424039945	0.15227522759281809	0.6087571478682026	0.12589881029857983
Ski_1	0.14716466411422735	0.30108062171963224	0.16490839952486147	0.38684631464127894
Ski_2	0.12336814728997751	0.05867310016396801	0.08509219869754578	0.7328665538485087
Ski_3	0.1649649476293779	0.308952414204247	0.19060640517221092	0.3354762329941642
Ski_4	0.11778429140002869	0.04858962734475338	0.09709882314796002	0.7365272581072579
Ski_5	0.1136121216375999	0.055442766881716614	0.09463027378661666	0.7363148376940668
Ski_6	0.11215425409215535	0.050205899980675504	0.09667961981763695	0.7409602261095322
Ski_7	0.09138142546775566	0.08896831236830623	0.07378173432066157	0.7458685278432765
Ski_8	0.24585555021716674	0.04880884247485661	0.07231879975106394	0.6330168075569127
Mye_1	0.10338993753622756	0.707451837251036	0.09354826176558213	0.09560996344715429
Mye_2	0.12803890679739222	0.6424521556123807	0.11943350236729229	0.1100754352229346
Mye_3	0.08390632553833868	0.7792271160941969	0.07153585251769516	0.06533070584976931
Mye_4	0.16497107326489524	0.5803656889296763	0.12223949363852388	0.13242374416690453
Mye_5	0.10482258976220121	0.6935949052823415	0.10058313737083577	0.10099936758462146
Mye_6	0.21031394516632934	0.4665925026443866	0.1559261434928882	0.1671674086963958
Mye_7	0.1423199272381053	0.6080865916949411	0.12431074265948744	0.12528273840746623
Mye_8	0.11275622389849817	0.6995674446311898	0.09761771053116845	0.09005862093914355
Mye_9	0.24677017649007518	0.32691855913556883	0.1949373925165991	0.23137387185775685
Mye_10	0.14230597459435457	0.6213412005683763	0.12150040264547288	0.11485242219179626
Gyn_1	0.4559047243913896	0.26844469481921057	0.13090064212517724	0.14474993866422242
Gyn_2	0.6050308328334897	0.14037718591523465	0.10058435302509636	0.1540076282261792
Gyn_3	0.4920255508150848	0.1978483485888671	0.12558059426834778	0.18454550632770042
Gyn_4	0.6014338220214527	0.16311213555794424	0.09606975734996397	0.1393842850706392
Gyn_5	0.7599213333875017	0.09162653068582793	0.0549854617793924	0.09346667414727809
Gyn_6	0.5833306108874761	0.06991427502807049	0.10044476538146667	0.24631034870298676
Gyn_7	0.7524484016599852	0.07950456989190988	0.04694571658391494	0.12110131186419011
Gyn_8	0.6845914949483024	0.11269595008974664	0.07799520683773706	0.12471734812421388
Gyn_9	0.6439387461755084	0.16982293943195445	0.08574926431020766	0.10048905008232943
Gyn_10	0.7399105952407085	0.11543979557772495	0.05676335058169996	0.08788625859986669
Gyn_11	0.6540621813835784	0.10302835587815706	0.10670428187349013	0.1362051808647744
Gyn_12	0.5645700633542502	0.12260480151400188	0.13600131172371618	0.17682382340803177
