chrom,pos
1,0
1,500000
1,1000000
1,1500000
1,2000000
1,2500000
1,3000000
1,3500000
1,4000000
1,4500000
1,5000000
1,5500000
1,6000000
1,6500000
1,7000000
1,7500000
1,8000000
1,8500000
1,9000000
1,9500000
1,10000000
1,10500000
1,11000000
1,11500000
1,12000000
1,12500000
1,13000000
1,13500000
1,14000000
1,14500000
1,15000000
1,15500000
1,16000000
1,16500000
1,17000000
1,17500000
1,18000000
1,18500000
1,19000000
1,19500000
1,20000000
1,20500000
1,21000000
1,21500000
1,22000000
1,22500000
1,23000000
1,23500000
1,24000000
1,24500000
1,25000000
1,25500000
1,26000000
1,26500000
1,27000000
1,27500000
1,28000000
1,28500000
1,29000000
1,29500000
1,30000000
1,30500000
1,31000000
1,31500000
1,32000000
1,32500000
1,33000000
1,33500000
1,34000000
1,34500000
1,35000000
1,35500000
1,36000000
1,36500000
1,37000000
1,37500000
1,38000000
1,38500000
1,39000000
1,39500000
1,40000000
1,40500000
1,41000000
1,41500000
1,42000000
1,42500000
1,43000000
1,43500000
1,44000000
1,44500000
1,45000000
1,45500000
1,46000000
1,46500000
1,47000000
1,47500000
1,48000000
1,48500000
1,49000000
1,49500000
1,50000000
1,50500000
1,51000000
1,51500000
1,52000000
1,52500000
1,53000000
1,53500000
1,54000000
1,54500000
1,55000000
1,55500000
1,56000000
1,56500000
1,57000000
1,57500000
1,58000000
1,58500000
1,59000000
1,59500000
1,60000000
1,60500000
1,61000000
1,61500000
1,62000000
1,62500000
1,63000000
1,63500000
1,64000000
1,64500000
1,65000000
1,65500000
1,66000000
1,66500000
1,67000000
1,67500000
1,68000000
1,68500000
1,69000000
1,69500000
1,70000000
1,70500000
1,71000000
1,71500000
1,72000000
1,72500000
1,73000000
1,73500000
1,74000000
1,74500000
1,75000000
1,75500000
1,76000000
1,76500000
1,77000000
1,77500000
1,78000000
1,78500000
1,79000000
1,79500000
1,80000000
1,80500000
1,81000000
1,81500000
1,82000000
1,82500000
1,83000000
1,83500000
1,84000000
1,84500000
1,85000000
1,85500000
1,86000000
1,86500000
1,87000000
1,87500000
1,88000000
1,88500000
1,89000000
1,89500000
1,90000000
1,90500000
1,91000000
1,91500000
1,92000000
1,92500000
1,93000000
1,93500000
1,94000000
1,94500000
1,95000000
1,95500000
1,96000000
1,96500000
1,97000000
1,97500000
1,98000000
1,98500000
1,99000000
1,99500000
1,100000000
1,100500000
1,101000000
1,101500000
1,102000000
1,102500000
1,103000000
1,103500000
1,104000000
1,104500000
1,105000000
1,105500000
1,106000000
1,106500000
1,107000000
1,107500000
1,108000000
1,108500000
1,109000000
1,109500000
1,110000000
1,110500000
1,111000000
1,111500000
1,112000000
1,112500000
1,113000000
1,113500000
1,114000000
1,114500000
1,115000000
1,115500000
1,116000000
1,116500000
1,117000000
1,117500000
1,118000000
1,118500000
1,119000000
1,119500000
1,120000000
1,120500000
1,121000000
1,121500000
1,122000000
1,122500000
1,123000000
1,123500000
1,124000000
1,124500000
1,125000000
1,125500000
1,126000000
1,126500000
1,127000000
1,127500000
1,128000000
1,128500000
1,129000000
1,129500000
1,130000000
1,130500000
1,131000000
1,131500000
1,132000000
1,132500000
1,133000000
1,133500000
1,134000000
1,134500000
1,135000000
1,135500000
1,136000000
1,136500000
1,137000000
1,137500000
1,138000000
1,138500000
1,139000000
1,139500000
1,140000000
1,140500000
1,141000000
1,141500000
1,142000000
1,142500000
1,143000000
1,143500000
1,144000000
1,144500000
1,145000000
1,145500000
1,146000000
1,146500000
1,147000000
1,147500000
1,148000000
1,148500000
1,149000000
1,149500000
1,150000000
1,150500000
1,151000000
1,151500000
1,152000000
1,152500000
1,153000000
1,153500000
1,154000000
1,154500000
1,155000000
1,155500000
1,156000000
1,156500000
1,157000000
1,157500000
1,158000000
1,158500000
1,159000000
1,159500000
1,160000000
1,160500000
1,161000000
1,161500000
1,162000000
1,162500000
1,163000000
1,163500000
1,164000000
1,164500000
1,165000000
1,165500000
1,166000000
1,166500000
1,167000000
1,167500000
1,168000000
1,168500000
1,169000000
1,169500000
1,170000000
1,170500000
1,171000000
1,171500000
1,172000000
1,172500000
1,173000000
1,173500000
1,174000000
1,174500000
1,175000000
1,175500000
1,176000000
1,176500000
1,177000000
1,177500000
1,178000000
1,178500000
1,179000000
1,179500000
1,180000000
1,180500000
1,181000000
1,181500000
1,182000000
1,182500000
1,183000000
1,183500000
1,184000000
1,184500000
1,185000000
1,185500000
1,186000000
1,186500000
1,187000000
1,187500000
1,188000000
1,188500000
1,189000000
1,189500000
1,190000000
1,190500000
1,191000000
1,191500000
1,192000000
1,192500000
1,193000000
1,193500000
1,194000000
1,194500000
1,195000000
1,195500000
1,196000000
1,196500000
1,197000000
1,197500000
1,198000000
1,198500000
1,199000000
1,199500000
1,200000000
1,200500000
1,201000000
1,201500000
1,202000000
1,202500000
1,203000000
1,203500000
1,204000000
1,204500000
1,205000000
1,205500000
1,206000000
1,206500000
1,207000000
1,207500000
1,208000000
1,208500000
1,209000000
1,209500000
1,210000000
1,210500000
1,211000000
1,211500000
1,212000000
1,212500000
1,213000000
1,213500000
1,214000000
1,214500000
1,215000000
1,215500000
1,216000000
1,216500000
1,217000000
1,217500000
1,218000000
1,218500000
1,219000000
1,219500000
1,220000000
1,220500000
1,221000000
1,221500000
1,222000000
1,222500000
1,223000000
1,223500000
1,224000000
1,224500000
1,225000000
1,225500000
1,226000000
1,226500000
1,227000000
1,227500000
1,228000000
1,228500000
1,229000000
1,229500000
1,230000000
1,230500000
1,231000000
1,231500000
1,232000000
1,232500000
1,233000000
1,233500000
1,234000000
1,234500000
1,235000000
1,235500000
1,236000000
1,236500000
1,237000000
1,237500000
1,238000000
1,238500000
1,239000000
1,239500000
1,240000000
1,240500000
1,241000000
1,241500000
1,242000000
1,242500000
1,243000000
1,243500000
1,244000000
1,244500000
1,245000000
1,245500000
1,246000000
1,246500000
1,247000000
1,247500000
1,248000000
1,248500000
1,249000000
2,0
2,500000
2,1000000
2,1500000
2,2000000
2,2500000
2,3000000
2,3500000
2,4000000
2,4500000
2,5000000
2,5500000
2,6000000
2,6500000
2,7000000
2,7500000
2,8000000
2,8500000
2,9000000
2,9500000
2,10000000
2,10500000
2,11000000
2,11500000
2,12000000
2,12500000
2,13000000
2,13500000
2,14000000
2,14500000
2,15000000
2,15500000
2,16000000
2,16500000
2,17000000
2,17500000
2,18000000
2,18500000
2,19000000
2,19500000
2,20000000
2,20500000
2,21000000
2,21500000
2,22000000
2,22500000
2,23000000
2,23500000
2,24000000
2,24500000
2,25000000
2,25500000
2,26000000
2,26500000
2,27000000
2,27500000
2,28000000
2,28500000
2,29000000
2,29500000
2,30000000
2,30500000
2,31000000
2,31500000
2,32000000
2,32500000
2,33000000
2,33500000
2,34000000
2,34500000
2,35000000
2,35500000
2,36000000
2,36500000
2,37000000
2,37500000
2,38000000
2,38500000
2,39000000
2,39500000
2,40000000
2,40500000
2,41000000
2,41500000
2,42000000
2,42500000
2,43000000
2,43500000
2,44000000
2,44500000
2,45000000
2,45500000
2,46000000
2,46500000
2,47000000
2,47500000
2,48000000
2,48500000
2,49000000
2,49500000
2,50000000
2,50500000
2,51000000
2,51500000
2,52000000
2,52500000
2,53000000
2,53500000
2,54000000
2,54500000
2,55000000
2,55500000
2,56000000
2,56500000
2,57000000
2,57500000
2,58000000
2,58500000
2,59000000
2,59500000
2,60000000
2,60500000
2,61000000
2,61500000
2,62000000
2,62500000
2,63000000
2,63500000
2,64000000
2,64500000
2,65000000
2,65500000
2,66000000
2,66500000
2,67000000
2,67500000
2,68000000
2,68500000
2,69000000
2,69500000
2,70000000
2,70500000
2,71000000
2,71500000
2,72000000
2,72500000
2,73000000
2,73500000
2,74000000
2,74500000
2,75000000
2,75500000
2,76000000
2,76500000
2,77000000
2,77500000
2,78000000
2,78500000
2,79000000
2,79500000
2,80000000
2,80500000
2,81000000
2,81500000
2,82000000
2,82500000
2,83000000
2,83500000
2,84000000
2,84500000
2,85000000
2,85500000
2,86000000
2,86500000
2,87000000
2,87500000
2,88000000
2,88500000
2,89000000
2,89500000
2,90000000
2,90500000
2,91000000
2,91500000
2,92000000
2,92500000
2,93000000
2,93500000
2,94000000
2,94500000
