sample_id	Gynecologic: Ovary/Fallopian tube	Myeloid: Acute myeloid leukemia	Prostate	Skin: Other
Pro_1	0.0		0.5	0.5
Pro_2	0.0		0.5	0.5
Pro_3				
Pro_4				
Pro_5	0.0		0.5	0.5
Pro_6				
Pro_7				
Pro_8	0.0		0.5	0.5
Pro_9	0.0		0.5	0.5
Pro_10	0.0		0.5	0.5
Ski_1				
Ski_2	0.0		0.5	0.5
Ski_3	0.0		0.5	0.5
Ski_4	0.0		0.5	0.5
Ski_5				
Ski_6				
Ski_7	0.0		0.5	0.5
Ski_8	0.5902244668049873		0.0	0.4097755331950127
Mye_1				
Mye_2				
Mye_3				
Mye_4				
Mye_5				
Mye_6				
Mye_7				
Mye_8				
Mye_9				
Mye_10				
Gyn_1	0.5902244668049873		0.0	0.4097755331950127
Gyn_2	0.5902244668049873		0.0	0.4097755331950127
Gyn_3	0.5902244668049873		0.0	0.4097755331950127
Gyn_4	0.5902244668049873		0.0	0.4097755331950127
Gyn_5				
Gyn_6				
Gyn_7	0.5902244668049873		0.0	0.4097755331950127
Gyn_8	0.5902244668049873		0.0	0.4097755331950127
Gyn_9	0.5902244668049873		0.0	0.4097755331950127
Gyn_10	0.5902244668049873		0.0	0.4097755331950127
Gyn_11	0.5902244668049873		0.0	0.4097755331950127
Gyn_12	0.5902244668049873		0.0	0.4097755331950127
